Local Date: May 14 2021 Local Time: 14:44:35
Build info: Dec 29 2020 22:52:16 r

INFO    14:44:50:458  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:563  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:604  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:625  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:644  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:668  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:689  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:708  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:728  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:746  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:764  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:783  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:800  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:816  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:834  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:852  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:868  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:887  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:905  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:923  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:943  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:962  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:50:980  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:002  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:021  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:040  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:059  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:077  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:094  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:110  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:128  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:145  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:162  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:180  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:201  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:235  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:251  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:270  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:289  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:306  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:323  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:341  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:357  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:51:375  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
